ID	Score  
Q9H4M7	2530.0	
P05067	2083.0
Q92731	1915.0
P01106	1818.0
Q15717	1802.0
P04629	1786.0
Q14258	1746.0
P62805	1473.0
O94761	1251.0
Q13489	1240.0
P49116	1240.0
Q15029	1238.0
P01116	1188.0
Q13618	1143.0
O14980	1125.0
Q9H6Z9	1112.0
P14866	1105.0
P04637	1085.0
P00533	1081.0
P78317	1078.0
P0CG48	1020.0
P38398	1012.0
Q9UBU9	959.0
Q13263	936.0
P35232	862.0
P55072	842.0
P49736	836.0
P07900	816.0
Q4G0J3	814.0
Q8NFZ5	807.0
Q9HCE1	804.0
P08621	798.0
P03372	778.0
O95994	776.0
O75147	770.0
O94992	767.0
Q92905	733.0
Q6UX01	733.0
P27695	732.0
P11142	727.0
Q14999	725.0
P68431	722.0
O95793	721.0
Q9NQC7	710.0
O00308	704.0
P13569	700.0
Q86VP6	689.0
P02751	689.0
Q9BXW9	680.0
Q99496	680.0
Q9NRC8	676.0
Q7L2J0	673.0
Q676U5	672.0
P24941	671.0
Q09472	669.0
Q13616	668.0
P35222	664.0
Q15910	662.0
Q01844	656.0
Q9NWS0	635.0
Q14839	623.0
Q12873	623.0
P06748	612.0
P02545	608.0
Q92769	601.0
P46937	601.0
P12956	593.0
Q99459	592.0
Q9Y312	579.0
P60484	570.0
Q9HBD1	569.0
P36873	569.0
Q00839	563.0
P61081	559.0
P12830	558.0
Q6P2Q9	558.0
P09651	555.0
Q5TC82	554.0
Q13573	552.0
Q9H0W5	549.0
Q13547	540.0
P48431	538.0
P62993	533.0
P50750	529.0
P68032	527.0
P63279	516.0
P11021	516.0
P27694	512.0
P49841	511.0
P27824	509.0
Q9BXM7	508.0
Q13620	507.0
O75530	503.0
Q15022	503.0
Q7Z6Z7	500.0
P10809	492.0
P15927	492.0
P68400	491.0
Q9NRD1	491.0
Q9NPI1	489.0
Q00987	487.0
P35637	480.0
Q9NZC7	480.0
O60260	477.0
P27348	472.0
P04792	469.0
P01112	463.0
P13612	459.0
P01111	457.0
Q8TBB1	452.0
O95863	451.0
Q08379	450.0
P62258	450.0
P68104	446.0
Q13501	445.0
Q9UHD9	442.0
Q13283	440.0
P62753	439.0
P41240	437.0
P63104	430.0
P19338	430.0
Q5S007	427.0
O95817	425.0
Q16659	425.0
Q9BRS2	424.0
Q5XPI4	424.0
Q15365	424.0
Q9Y3I1	423.0
Q12933	423.0
P35226	420.0
P19320	417.0
P08238	411.0
Q13617	410.0
Q93034	410.0
P62136	409.0
P35244	407.0
P26368	404.0
Q12986	398.0
Q14103	397.0
O60341	396.0
P54578	392.0
Q12888	392.0
P54252	391.0
P34932	389.0
Q9NS91	389.0
P22087	389.0
P27635	387.0
Q13619	384.0
P16104	383.0
P31749	383.0
P34897	382.0
P78362	382.0
P60709	380.0
P62877	378.0
P09622	376.0
P42166	375.0
P30153	374.0
Q13148	372.0
Q9UKB1	371.0
Q71U36	371.0
Q12906	368.0
Q9Y297	368.0
Q9Y6K9	366.0
P31946	365.0
Q92793	362.0
Q93009	360.0
P32121	354.0
P40337	352.0
Q16665	352.0
P35579	351.0
Q12800	350.0
Q16543	350.0
P56524	349.0
Q9UQL6	349.0
P61981	347.0
Q13627	347.0
P14373	346.0
P50222	346.0
Q969H0	346.0
P61978	344.0
P78527	343.0
P04908	343.0
P08559	341.0
P43243	341.0
Q12905	340.0
Q9HCE7	338.0
Q9Y4K3	335.0
P08670	335.0
P08107	334.0
O14965	334.0
Q16531	334.0
O00487	333.0
Q16666	333.0
P09874	330.0
Q9UNE7	330.0
P52272	329.0
O60506	329.0
P62241	329.0
O95714	328.0
Q9UBN7	327.0
P46940	327.0
Q504Q3	324.0
Q00610	322.0
Q04206	322.0
P23396	322.0
O43493	321.0
O14964	321.0
P12004	321.0
P54274	321.0
P07437	320.0
Q9Y230	320.0
P84022	320.0
P06733	319.0
