ID Score    
Q9H4M7 7.211419517865334e+92
P01106 5.292032822448065e+92
P04629 4.6249536646061667e+92
Q15029 4.3336499433297467e+92
P62805 4.1251350994946923e+92
O94761 3.7448458074288436e+92
Q13489 3.612042084386056e+92
P49116 3.3943343779414196e+92
Q92731 3.111794033928263e+92
Q14258 2.999942459225152e+92
Q13618 2.9076218482911813e+92
P35232 2.8695066052143473e+92
P38398 2.3062884330406924e+92
Q13263 2.1803224466415382e+92
Q4G0J3 2.14409351727584e+92
P04637 2.0990489075285786e+92
P08621 2.06105064680056e+92
P49736 2.0275084175585953e+92
O95793 1.96012406168681e+92
O94992 1.9339377335294367e+92
Q86VP6 1.9323217100547133e+92
Q6P2Q9 1.7889086262501143e+92
Q14999 1.7384591547779242e+92
P06748 1.71736531851438e+92
Q14839 1.7041660410245146e+92
Q15717 1.684000625931829e+92
O75147 1.6508337739204764e+92
O00308 1.6426506695912167e+92
P0CG48 1.6388837481871408e+92
Q00839 1.6065948867850155e+92
Q7L2J0 1.6056970350906216e+92
Q9BXW9 1.596677532180134e+92
P03372 1.5909254688161512e+92
P11142 1.5695834891697388e+92
P02751 1.527222370185159e+92
O95994 1.5151036778329785e+92
Q92905 1.5044697144429302e+92
Q9NQC7 1.5025827285234794e+92
Q12873 1.4882551032864515e+92
P55072 1.433458163037767e+92
Q13616 1.4321594088622898e+92
O14980 1.423204009085175e+92
P09651 1.4068671386810747e+92
P24941 1.37499774931914e+92
P35222 1.3674327251765512e+92
Q9NWS0 1.3591897886564e+92
Q9Y312 1.3410079528263517e+92
P19338 1.3009290425391491e+92
Q99496 1.2982194237336267e+92
P01116 1.294638777582309e+92
P00533 1.2904958602200235e+92
P05067 1.2377787747290423e+92
P35637 1.2320494691920967e+92
P07900 1.2173780258074462e+92
P46937 1.1900997764040069e+92
P78317 1.1701511927692049e+92
Q9NRC8 1.138389721696423e+92
Q9HBD1 1.1137040573329874e+92
Q99459 1.10893319305047e+92
P62753 1.103526282817794e+92
Q9H6Z9 1.1032167322457287e+92
Q7Z6Z7 1.0971551437238716e+92
P61081 1.0909869670962443e+92
P50750 1.0770524083835906e+92
Q5TC82 1.0665120579938711e+92
P11021 1.0649705658820404e+92
P36873 1.0366570051340117e+92
P12956 1.0278856648371645e+92
Q15365 1.0174220042680488e+92
Q01844 1.0096837111111722e+92
Q8NFZ5 1.009021216383641e+92
P68431 1.008437329017161e+92
P14866 1.0044640566426041e+92
Q9UBU9 1.001915494439337e+92
P23396 9.625488661706001e+91
Q9BRS2 9.470492615650836e+91
P27694 9.231077081235459e+91
Q12906 9.199012537001443e+91
P68104 9.048733888302144e+91
Q9H0W5 9.02186820231239e+91
Q13148 9.018200864843063e+91
O75530 8.94460098132475e+91
P13612 8.889514074121136e+91
P02545 8.883135452927088e+91
Q13573 8.8789086993244e+91
P62241 8.857664389822713e+91
P26368 8.854643203773873e+91
Q9HCE1 8.802451107584872e+91
Q92769 8.779018663605916e+91
Q9BXM7 8.770472528238725e+91
Q02878 8.757898523104021e+91
P52272 8.645892301842614e+91
Q13620 8.626487572036784e+91
O95863 8.600756470000129e+91
P15880 8.508157510423019e+91
Q12905 8.327345097130715e+91
P43243 8.260735978655406e+91
P19320 8.238215647633494e+91
P27635 8.188851845668172e+91
P08238 8.165110100456423e+91
P42166 8.138134592805753e+91
Q9NPI1 8.116229409552565e+91
P13569 8.06730998381125e+91
Q15910 7.9492480845094e+91
P61247 7.851298915327155e+91
P60484 7.783409398163149e+91
P61978 7.734631824865204e+91
Q09472 7.722369382203594e+91
P62701 7.719152665124966e+91
P15927 7.693365081879568e+91
Q08211 7.656131689580953e+91
Q14103 7.547949923367134e+91
Q07020 7.52910544323231e+91
Q676U5 7.397366398231653e+91
P18124 7.344474040775773e+91
P36578 7.335826247401915e+91
P46777 7.280714724241358e+91
Q12986 7.274086428375202e+91
P10809 7.144263008692376e+91
P22087 7.001065184677763e+91
P68032 6.995321671708535e+91
P11940 6.943490034549206e+91
P62263 6.901644933168982e+91
P05388 6.869884919132044e+91
P62917 6.71721724410099e+91
Q13617 6.713783943622146e+91
Q13283 6.619392530975055e+91
P50914 6.608834197999852e+91
O60260 6.562970472556327e+91
P17844 6.532886532232249e+91
P27348 6.515283124947666e+91
Q15022 6.5103135935641534e+91
P39023 6.5059072342462326e+91
P62906 6.3665895861658864e+91
P62913 6.3518629906519966e+91
Q93034 6.321646269254341e+91
P26373 6.311675821496934e+91
Q9NRD1 6.242408707126495e+91
P38919 6.2234044571657385e+91
P62277 6.1568318415854525e+91
P30050 6.139379119701896e+91
P68400 6.138960925433153e+91
